COD_DANE,Total_Viviendas,Casas,Casas_indigenas,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,GasNatural_SI,GasNatur_NO,Alcantarillado_SI,Alcantarillado_NO,Acueducto_SI,Acueducto_NO,Total_Hogares,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguna_Educacion,No_responde
7300110000000000730239,38,14,,17,7,37,1,23,15,35,3,35,3,39,158,70,88,1,69,36,0,27,25
7300110000000000330338,6,5,,0,1,6,0,4,2,6,0,6,0,7,26,13,13,1,9,6,0,2,8
7300110000000000590716,100,92,,1,7,100,0,22,78,41,59,78,22,105,433,202,231,14,191,66,0,89,73
7300110000000000140118,45,21,,22,2,44,1,37,8,44,1,44,1,47,154,78,76,5,35,30,5,5,74
7300110000000000590407,37,23,,14,0,37,0,31,6,37,0,37,0,39,142,64,78,5,37,33,1,9,57
7300110000000000560719,99,1,,98,0,91,0,55,36,91,0,91,0,93,260,114,146,9,47,30,5,4,165
7300110000000000580411,23,23,,0,0,22,0,18,4,22,0,22,0,22,66,27,39,0,22,15,1,7,21
7300110000000000330249,21,18,,2,1,21,0,17,4,21,0,21,0,22,81,35,46,4,17,24,2,2,32
7300110000000000330804,12,8,,4,0,12,0,11,1,12,0,12,0,14,49,25,24,1,18,8,3,4,15
7300110000000000580414,26,22,,2,2,22,0,19,3,22,0,22,0,22,76,36,40,1,28,17,0,6,24
7300110000000000580513,24,23,,1,0,22,0,17,5,22,0,22,0,22,79,34,45,2,19,22,1,2,33
7300110000000000590603,25,21,,4,0,25,0,25,0,25,0,25,0,26,121,57,64,4,34,24,1,9,49
7300110000000000330229,18,17,,1,0,18,0,14,4,18,0,18,0,18,60,29,31,0,5,7,1,1,46
7300110000000000331113,31,26,,4,1,31,0,26,5,31,0,31,0,32,118,48,70,2,19,17,5,5,70
7300110000000000330507,35,13,,21,1,33,0,24,9,33,0,33,0,34,106,48,58,4,31,19,0,7,45
7300110000000000590410,45,32,,12,0,44,1,42,3,44,1,45,0,46,164,71,93,2,34,42,1,7,78
