COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000330513,2018,1189.646171,0,23,23,0,0,40,0,20,0,19,1,18,1,68,24,44,26,0,9,0,0,1,58
7300110000000000330514,2018,1230.336283,0,32,30,1,1,57,0,29,0,29,0,28,1,109,54,55,45,0,0,0,1,0,108
7300110000000000330515,2018,1255.565768,0,34,34,0,0,58,0,29,0,29,0,28,1,100,48,52,37,0,7,0,1,0,92
7300110000000000330516,2018,1212.190042,0,32,32,0,0,48,0,24,0,24,0,24,0,79,37,42,0,0,0,0,3,0,76
7300110000000000330517,2018,892.003153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330528,2018,11863.231359,0,172,166,5,1,344,0,172,0,172,0,171,0,559,272,287,138,247,123,0,13,2,174
7300110000000000330802,2018,368.310766,0,12,9,2,1,20,0,10,0,10,0,9,1,23,8,15,0,0,0,0,2,0,21
7300110000000000330803,2018,640.908859,0,7,7,0,0,13,0,7,0,7,0,6,1,23,12,11,6,0,0,0,3,0,20
7300110000000000330804,2018,460.605017,0,8,6,2,0,14,0,7,0,7,0,7,0,18,10,8,0,0,0,0,1,0,17
7300110000000000330805,2018,3317.320442,0,62,42,19,1,104,0,52,0,52,0,47,3,152,68,84,43,0,33,0,2,3,114
7300110000000000330806,2018,1719.335349,0,30,17,13,0,50,0,25,0,25,0,24,0,101,45,56,32,0,15,0,4,2,80
7300110000000000330807,2018,1522.511468,0,42,26,16,0,62,0,31,0,31,0,28,0,96,55,41,26,0,10,0,8,3,75
7300110000000000330808,2018,1272.399252,0,22,13,8,1,38,0,19,0,19,0,19,0,59,25,34,24,0,4,0,5,0,50
7300110000000000330809,2018,1249.261117,0,19,11,8,0,30,0,15,0,15,0,15,0,64,34,30,18,0,0,0,1,0,63
7300110000000000330813,2018,12939.801995,0,204,60,139,5,372,0,186,0,186,0,186,0,586,282,304,119,0,171,22,9,4,380
7300110000000000330814,2018,4075.414531,0,51,27,19,5,96,0,48,0,48,0,42,6,127,71,56,34,0,29,0,5,1,92
7300110000000000330815,2018,3797.225645,0,40,13,27,0,72,0,36,0,36,0,36,0,118,55,63,21,0,20,0,1,0,97
7300110000000000330816,2018,3638.224819,0,76,17,39,20,138,0,68,1,67,2,64,5,182,98,84,44,84,37,0,6,4,51
7300110000000000330817,2018,3566.905701,0,55,25,19,11,96,0,48,0,48,0,43,5,117,50,67,36,0,24,0,2,0,91
7300110000000000330818,2018,3779.391714,0,51,23,28,0,96,0,48,0,47,1,46,1,135,66,69,0,46,35,0,2,6,46
7300110000000000330819,2018,3976.008190,0,47,16,29,2,76,0,38,0,38,0,38,0,107,43,64,27,37,28,0,4,2,36
7300110000000000330820,2018,14088.610073,0,112,64,46,2,202,0,101,0,101,0,101,0,347,157,190,69,155,86,5,5,2,94
7300110000000000330821,2018,3324.681654,0,62,32,29,1,102,0,50,1,50,1,50,1,155,62,93,37,61,41,0,1,1,51
7300110000000000330822,2018,9516.121618,0,124,48,72,4,219,1,109,1,107,3,108,2,351,155,196,77,167,75,0,5,9,95
7300110000000000330823,2018,643.799566,0,5,2,2,1,8,0,4,0,4,0,4,0,17,10,7,5,0,0,0,0,0,17
7300110000000000330824,2018,1076.622457,0,24,10,14,0,40,0,20,0,20,0,20,0,70,36,34,14,0,0,0,0,0,70
7300110000000000330825,2018,2261.761219,0,43,22,19,2,76,0,38,0,38,0,35,0,102,48,54,24,0,20,0,3,2,77
7300110000000000330826,2018,14053.978045,0,337,48,289,0,398,0,199,1,199,1,192,1,549,268,281,79,187,185,45,8,12,112
7300110000000000330910,2018,7130.068124,0,98,80,18,0,188,0,94,0,94,0,92,2,300,145,155,66,140,60,0,2,3,95
7300110000000000330911,2018,29698.835394,0,279,265,10,4,550,0,275,0,275,0,272,3,856,418,438,227,0,196,11,12,12,625
7300110000000000330913,2018,4706.893358,0,29,21,6,2,58,0,29,0,29,0,29,0,77,36,41,16,0,24,0,1,1,51
7300110000000000330914,2018,4134.982651,0,29,25,4,0,46,0,23,0,23,0,23,0,68,34,34,12,0,18,0,0,2,48
7300110000000000330915,2018,2244.727744,0,14,7,7,0,26,0,13,0,13,0,13,0,40,19,21,9,0,15,0,0,1,24
7300110000000000330916,2018,4587.652465,0,21,15,6,0,36,0,18,0,18,0,18,0,66,30,36,13,26,15,0,0,4,21
7300110000000000330918,2018,3923.686551,0,11,11,0,0,18,0,9,0,9,0,9,0,32,14,18,0,0,0,0,0,1,31
7300110000000000330922,2018,18944.328513,0,79,73,6,0,146,0,73,0,73,0,73,0,219,100,119,0,92,49,0,5,2,71
