COD_DANE;VERSION;AREA;Total_Viviendas;Casa;Apartamento;Tipo_Cuarto;Electrica_SI;Electrica_NO;GasNatural_SI;GasNatural_NO;Alcantarillado_SI;Alcantarillado_NO;Acueducto_SI;Acueducto_NO;Total_Personas;HOMBRE;MUJER;Preescolar;Primaria;Secundaria;Especializacion;Ninguna_Educacion;No_responde;Ninguno;Ninguno
7300110000000000330120;2018;1777.371058;40;10;30;0;60;0;30;0;30;0;30;0;98;41;57;25;0;27;0;1;70;0;1
7300110000000000330121;2018;1909.537706;26;23;2;1;48;0;22;0;24;0;24;0;66;26;40;0;17;24;11;2;12;0;2
7300110000000000330122;2018;2985.143178;46;46;0;0;78;0;35;1;39;0;39;0;125;56;69;19;43;44;6;4;28;3;1
7300110000000000330123;2018;3652.914935;55;53;1;1;90;0;42;0;45;0;45;0;140;77;63;26;0;49;0;7;84;2;5
7300110000000000330124;2018;1871.371318;28;23;1;4;54;0;27;0;27;0;27;0;98;48;50;34;0;8;0;5;85;2;3
7300110000000000330125;2018;2083.048464;40;9;24;7;78;0;27;12;36;3;38;1;114;47;67;34;0;13;0;7;94;5;2
7300110000000000330205;2018;3616.364781;177;1;176;0;286;1;143;0;143;0;143;0;379;171;208;41;95;164;43;7;70;3;4
7300110000000000330209;2018;1538.220286;30;14;14;2;54;0;27;0;27;0;27;0;87;44;43;23;0;19;0;2;66;2;0
7300110000000000330210;2018;1858.710390;47;12;33;2;58;0;29;0;29;0;29;0;84;39;45;0;0;15;0;2;67;1;1
7300110000000000330212;2018;1746.763726;16;14;1;1;28;0;14;0;14;0;14;0;38;18;20;13;0;11;0;1;26;0;1
7300110000000000330217;2018;1040.409949;13;13;0;0;22;0;11;0;11;0;11;0;36;15;21;0;0;14;0;0;22;0;0
7300110000000000330218;2018;1015.437123;17;13;4;0;32;0;16;0;16;0;16;0;37;18;19;0;0;0;0;4;33;0;4
7300110000000000330219;2018;1022.249439;15;12;2;1;22;1;10;1;11;0;11;0;25;10;15;0;0;0;0;1;24;0;1
7300110000000000330220;2018;8893.237156;170;4;166;0;207;0;100;1;103;1;103;1;282;137;145;35;87;108;31;8;48;2;6
7300110000000000330221;2018;2037.433743;24;21;3;0;44;0;22;0;22;0;22;0;66;32;34;0;0;21;0;1;44;0;1
7300110000000000330222;2018;2260.927525;20;15;2;3;36;0;17;1;18;0;18;0;58;24;34;16;0;6;0;4;48;4;0
7300110000000000330228;2018;1439.390465;20;19;1;0;30;0;15;0;15;0;15;0;47;23;24;10;12;0;0;0;35;0;0
7300110000000000330229;2018;1200.597797;17;15;2;0;30;0;15;0;15;0;15;0;44;17;27;0;0;0;0;1;43;1;0
7300110000000000330241;2018;1847.094794;6;1;5;0;10;0;5;0;5;0;5;0;13;7;6;3;0;0;0;0;13;0;0
7300110000000000330242;2018;917.050303;15;14;1;0;28;0;14;0;14;0;14;0;38;22;16;8;0;7;0;3;28;2;1
7300110000000000330243;2018;1198.806822;20;6;13;1;40;0;20;0;20;0;20;0;72;39;33;0;0;0;0;2;70;2;0
7300110000000000330244;2018;1057.110384;30;7;23;0;54;0;26;1;27;0;27;0;85;42;43;17;0;12;0;1;72;1;0
7300110000000000330245;2018;1040.702940;23;20;2;1;40;0;20;0;20;0;20;0;62;31;31;13;0;9;0;3;50;0;3
7300110000000000330246;2018;755.853720;12;6;6;0;22;0;11;0;11;0;11;0;35;15;20;11;0;8;0;2;25;2;0
7300110000000000330247;2018;1850.097239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330248;2018;960.566153;21;15;5;1;38;0;19;0;19;0;19;0;54;27;27;12;0;0;0;5;49;1;4
7300110000000000330249;2018;947.898161;29;13;16;0;54;0;27;0;27;0;27;0;77;34;43;8;0;30;0;0;47;0;0
7300110000000000330250;2018;612.833817;10;8;2;0;12;0;6;0;6;0;6;0;20;7;13;0;0;11;0;1;8;1;0
7300110000000000330251;2018;1503.944034;30;21;8;1;54;0;25;2;27;0;27;0;73;38;35;0;25;23;0;4;21;2;2
7300110000000000330301;2018;1979.252540;44;29;10;5;74;0;36;1;37;0;37;0;108;60;48;25;0;16;0;6;86;6;0
7300110000000000330302;2018;1809.351906;19;5;14;0;38;0;18;1;19;0;19;0;55;25;30;24;0;5;0;0;50;0;0
7300110000000000330305;2018;1942.801881;31;14;16;1;50;0;25;0;25;0;25;0;81;37;44;26;0;12;0;0;69;0;0
7300110000000000330307;2018;2900.748068;63;26;35;2;108;0;54;0;54;0;54;0;156;70;86;0;65;34;3;9;45;7;2
7300110000000000330308;2018;9646.728827;137;69;59;9;248;0;122;1;124;0;124;0;339;161;178;86;0;83;0;5;251;4;1
7300110000000000330312;2018;4959.546993;52;49;3;0;84;0;41;0;42;0;42;0;106;45;61;0;0;33;11;4;58;1;3
7300110000000000330314;2018;27369.002899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330315;2018;1354.824485;41;35;2;4;72;0;36;0;36;0;36;0;106;54;52;28;0;23;0;2;81;0;2
7300110000000000330317;2018;2588.637082;48;38;10;0;86;0;42;0;43;0;43;0;148;79;69;0;0;27;0;6;115;4;2
7300110000000000330318;2018;409.741264;4;0;2;2;8;0;4;0;4;0;4;0;8;3;5;0;0;0;0;0;8;0;0
7300110000000000330326;2018;14411.291318;72;55;7;10;130;0;63;1;64;1;65;0;164;79;85;48;65;34;6;7;52;3;4
7300110000000000330327;2018;1233.353134;20;7;12;1;34;0;17;0;17;0;17;0;40;19;21;0;0;0;0;2;38;2;0
7300110000000000330328;2018;1344.268469;34;16;18;0;56;0;28;0;28;0;28;0;97;50;47;21;0;29;0;3;65;3;0
7300110000000000330329;2018;1450.003133;32;29;2;1;62;0;28;0;31;0;31;0;99;46;53;24;0;32;0;4;63;1;3
7300110000000000330330;2018;1340.971263;35;16;19;0;60;0;26;0;30;0;30;0;84;36;48;16;0;18;0;6;60;4;2
7300110000000000330331;2018;1430.030862;31;2;27;2;58;0;29;0;29;0;29;0;90;44;46;0;0;19;0;1;70;1;0
7300110000000000330332;2018;677.290802;13;4;9;0;16;0;5;0;8;0;8;0;24;12;12;5;0;5;0;1;18;0;1
7300110000000000330333;2018;2151.936135;43;12;28;3;72;0;35;1;36;0;36;0;114;54;60;27;0;19;0;2;93;1;1
7300110000000000330334;2018;2301.995977;36;17;19;0;68;0;34;0;34;0;34;0;105;49;56;26;0;19;0;4;82;2;2
7300110000000000330335;2018;1007.938604;21;18;3;0;36;0;18;0;18;0;18;0;65;26;39;13;0;16;0;1;48;0;1
7300110000000000330339;2018;1928.237342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330340;2018;601.798989;12;5;5;2;22;0;11;0;11;0;11;0;31;20;11;0;0;0;0;0;31;0;0
7300110000000000330341;2018;1069.114733;15;14;1;0;30;0;15;0;15;0;15;0;54;24;30;13;0;17;0;3;34;0;3
7300110000000000330342;2018;19777.808416;204;139;64;1;360;0;179;1;180;0;180;0;529;239;290;53;151;251;53;5;69;4;1
7300110000000000330401;2018;1790.613937;36;33;3;0;70;0;35;0;35;0;35;0;128;62;66;37;60;23;0;5;40;5;0
7300110000000000330402;2018;4337.796845;42;32;9;1;80;0;39;1;40;0;40;0;127;56;71;36;0;22;0;6;99;3;3
7300110000000000330405;2018;3343.785542;74;74;0;0;148;0;74;0;74;0;74;0;208;90;118;54;0;42;0;0;166;0;0
7300110000000000330406;2018;3126.974017;42;42;0;0;84;0;42;0;42;0;42;0;160;75;85;32;0;28;0;1;131;1;0
7300110000000000330407;2018;2009.843995;34;31;3;0;66;0;31;2;32;1;33;0;111;51;60;33;0;19;0;1;91;1;0
7300110000000000330408;2018;2061.832582;28;13;15;0;54;0;26;1;26;1;27;0;120;61;59;43;48;18;0;2;52;1;1
7300110000000000330409;2018;2048.887495;31;26;5;0;56;0;27;1;28;0;28;0;108;43;65;23;0;21;0;4;83;4;0
7300110000000000330410;2018;2181.229915;41;41;0;0;76;0;37;0;38;0;38;0;135;68;67;42;50;29;0;2;54;2;0
7300110000000000330411;2018;16593.867680;122;110;10;2;224;0;110;1;112;0;112;0;377;168;209;84;0;88;21;9;259;8;1
7300110000000000330414;2018;2518.896038;40;39;1;0;80;0;39;1;40;0;40;0;131;60;71;33;0;15;0;5;111;5;0
7300110000000000330415;2018;1206.512156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330423;2018;2011.475436;37;24;12;1;73;0;36;1;36;1;36;1;103;46;57;28;0;8;0;4;91;4;0
7300110000000000330424;2018;1940.816008;34;34;0;0;68;0;32;0;34;0;34;0;117;55;62;40;0;16;0;4;97;4;0
7300110000000000330425;2018;2033.763446;35;31;4;0;58;0;29;0;29;0;29;0;101;46;55;37;0;15;0;2;84;0;2
7300110000000000330426;2018;2415.787639;48;48;0;0;96;0;48;0;48;0;48;0;145;69;76;48;58;18;0;12;57;6;6
7300110000000000330427;2018;2604.211779;46;40;5;1;85;0;42;1;43;0;43;0;145;73;72;53;54;23;0;5;63;5;0
7300110000000000330428;2018;1500.270253;39;19;18;2;78;0;39;0;39;0;39;0;107;45;62;32;0;12;0;3;92;1;2
7300110000000000330429;2018;1648.007860;16;9;0;4;27;0;9;5;13;1;13;1;34;19;15;16;0;0;0;3;31;2;1
7300110000000000330430;2018;1884.936819;31;22;9;0;52;0;25;1;26;0;26;0;79;37;42;26;0;14;0;1;64;1;0
7300110000000000330431;2018;845.313420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330432;2018;743.036922;12;12;0;0;20;0;10;0;10;0;10;0;35;16;19;15;0;0;0;0;35;0;0
7300110000000000330433;2018;1151.089011;23;19;4;0;34;0;17;0;17;0;17;0;53;21;32;16;0;0;0;3;50;3;0
7300110000000000330434;2018;1689.926527;27;27;0;0;50;0;24;1;25;0;25;0;98;40;58;35;0;6;0;6;86;5;1
7300110000000000330435;2018;2022.712780;34;34;0;0;64;0;29;3;32;0;32;0;106;56;50;41;0;9;0;9;88;6;3
7300110000000000330436;2018;2620.916828;15;13;2;0;28;0;8;6;8;6;8;6;50;25;25;22;0;0;0;0;50;0;0
7300110000000000330437;2018;2862.395809;62;53;5;1;98;3;38;11;45;4;45;4;165;79;86;54;0;18;0;8;139;5;3
7300110000000000330438;2018;2492.665307;21;14;5;2;36;0;13;5;17;1;18;0;72;34;38;31;0;0;0;1;71;1;0
7300110000000000330439;2018;2216.722520;44;42;0;2;88;0;41;2;44;0;44;0;156;78;78;51;0;29;0;2;125;2;0
7300110000000000330440;2018;1904.787062;34;33;1;0;68;0;33;1;34;0;34;0;116;55;61;0;0;24;0;4;88;1;3
7300110000000000330441;2018;1837.715673;38;24;13;1;74;0;34;0;37;0;37;0;105;56;49;34;0;11;0;3;91;3;0
